REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.239	 2.239	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.248	 2.248	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.259	 2.259	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\airport_5dB\wav\sp01_airport_sn5.wav	 SQValue=2.128	 2.128	 0.000	 0	 8000	0.0080
 .\..\sre-research\db-noizeus_corpora\NOIZEUS\clean_noizeus\wav\sp01.wav	 .\..\sre-research\db-noizeus_corpora\NOIZEUS\x_denoised.wav	 SQValue=2.259	 2.259	 0.000	 0	 8000	0.0080
